"id","title","description","director","star1","star2","poster_url","release_date","imdb_rating","our_rating"
"672","Awakenings","Dr. Malcolm Sayer, a shy research physician, uses an experimental drug to ""awaken"" the catatonic victims of a rare disease. Leonard is the first patient to receive the controversial treatment. His awakening, filled with awe and enthusiasm, proves a rebirth for Sayer too, as the exuberant patient reveals life's simple but unutterably sweet pleasures to the introverted doctor.","Penny Marshall","Robert De Niro","Robin Williams","/tRKTlMoTsAhYpuq19V8Wk3RFY4O.jpg",,"7.8","0"
"675","Dip huet seung hung","Mob assassin Jeffrey is no ordinary hired gun; the best in his business, he views his chosen profession as a calling rather than simply a job. So, when beautiful nightclub chanteuse Jennie is blinded in the crossfire of his most recent hit, Jeffrey chooses to retire after one last job to pay for his unintended victim's sight-restoring operation. But when Jeffrey is double-crossed, he reluctantly joins forces with a rogue policeman to make things right.","John Woo","Yun-Fat Chow","Danny Lee","/z8zZouMO4vvRNVAwexgMbaIgxYe.jpg",,"7.8","0"
"676","Back to the Future Part II","Marty and Doc are at it again as the time-traveling duo head to 2015 to nip some McFly family woes in the bud. But things go awry thanks to bully Biff Tannen and a pesky sports almanac. In a last-ditch attempt to set things straight, Marty finds himself bound for 1955 and face to face with his teenage parents -- again.","Robert Zemeckis","Michael J. Fox","Christopher Lloyd","/su0cmtK55eKXq0QjW68LQslUhUY.jpg",,"7.8","0"
"677","Mississippi Burning","Two FBI agents investigating the murder of civil rights workers during the 60s seek to breach the conspiracy of silence in a small Southern town where segregation divides black and white. The younger agent trained in FBI school runs up against the small town ways of his partner, a former sheriff.","Alan Parker","Gene Hackman","Willem Dafoe","/aTJJ38M7zLAmJZ7vl0vyKn69zzw.jpg",,"7.8","0"
"679","Evil Dead II","Ash Williams and his girlfriend Linda find a log cabin in the woods with a voice recording from an archeologist who had recorded himself reciting ancient chants from ""The Book of the Dead."" As they play the recording an evil power is unleashed taking over Linda's body.","Sam Raimi","Bruce Campbell","Sarah Berry","/dOvEJK2u0slAGTfhdZOjnNgCQet.jpg",,"7.8","0"
"680","Ferris Bueller's Day Off","After high school slacker Ferris Bueller successfully fakes an illness in order to skip school for the day, he goes on a series of adventures throughout Chicago with his girlfriend Sloane and best friend Cameron, all the while trying to outwit his wily school principal and fed-up sister.","John Hughes","Matthew Broderick","Alan Ruck","/leehjwM57DKJ79XMUll4oAF0kin.jpg",,"7.8","0"
"683","The Color Purple","A decades-spanning tale of love and resilience and of one woman's journey to independence. Celie faces many hardships in her life, but ultimately finds extraordinary strength and hope in the unbreakable bonds of sisterhood.","Steven Spielberg","Danny Glover","Whoopi Goldberg","/1i2DLQ5WlGV2LOvlwFhtbU4ElMO.jpg",,"7.8","0"
"684","The Breakfast Club","Five high school students from different walks of life endure a Saturday detention under a power-hungry principal. The disparate group includes rebel John, princess Claire, outcast Allison, brainy Brian and Andrew, the jock. Each has a chance to tell his or her story, making the others see them a little differently -- and when the day ends, they question whether school will ever be the same.","John Hughes","Emilio Estevez","Judd Nelson","/qpPFF8Sed5lkXngWraJdN8WkwDG.jpg",,"7.8","0"
"685","The Killing Fields","New York Times reporter Sydney Schanberg is on assignment covering the Cambodian Civil War, with the help of local interpreter Dith Pran and American photojournalist Al Rockoff. When the U.S. Army pulls out amid escalating violence, Schanberg makes exit arrangements for Pran and his family. Pran, however, tells Schanberg he intends to stay in Cambodia to help cover the unfolding story — a decision he may regret as the Khmer Rouge rebels move in.","Roland JoffÃ©","Sam Waterston","Haing S. Ngor","/c7OeJd34rc9bI1DXqd4ucb1wVrf.jpg",,"7.8","0"
"686","Ghostbusters","After losing their academic posts at a prestigious university, a team of parapsychologists goes into business as proton-pack-toting ""ghostbusters"" who exterminate ghouls, hobgoblins and supernatural pests of all stripes. An ad campaign pays off when a knockout cellist hires the squad to purge her swanky digs of demons that appear to be living in her refrigerator.","Ivan Reitman","Bill Murray","Dan Aykroyd","/c6yfABGVKuB5cjoOwdX4AJMlzUz.jpg",,"7.8","0"
"688","The King of Comedy","Aspiring comic Rupert Pupkin attempts to achieve success in show business by stalking his idol, a late night talk-show host who craves his own privacy.","Martin Scorsese","Robert De Niro","Jerry Lewis","/npoUm3stzUM2lR46ClLDwBZDaeZ.jpg",,"7.8","0"
"691","Days of Heaven","In 1916, a Chicago steel worker accidentally kills his supervisor and flees to the Texas panhandle with his girlfriend and little sister to work harvesting wheat in the fields of a stoic farmer.","Terrence Malick","Richard Gere","Brooke Adams","/5JrPWR6ve6gry6LG8SKr6tsQSBo.jpg",,"7.8","0"
"692","The Outlaw Josey Wales","After avenging his family's brutal murder, Wales is pursued by a pack of soldiers. He prefers to travel alone, but ragtag outcasts are drawn to him - and Wales can't bring himself to leave them unprotected.","Clint Eastwood","Clint Eastwood","Sondra Locke","/gyaWP5k6JbxTcaqQQFDF09cF9s9.jpg",,"7.8","0"
"694","The Conversation","Based on a true story of a meeting in June 1945 between two powerful men with very opposite philosophies and perspectives on the future of their country.","Francis Ford Coppola","Gene Hackman","John Cazale","/kY2Tak93DKEChPHk6KzkqhNtm2H.jpg",,"7.8","0"
"697","Badlands","An impressionable teenage girl from a dead-end town and her older greaser boyfriend embark on a killing spree in the South Dakota badlands.","Terrence Malick","Martin Sheen","Sissy Spacek","/5rp9Jydh9RxrvVBW2lr27B8NYiT.jpg",,"7.8","0"
"698","Cabaret","Filmed live from the 1993 revival, Sam Mendes' directorial debut takes place at the Donmar Warehouse in London's West End. Jane Horrocks stars as cabaret girl Sally Bowles, Adam Godley as the bicurious Cliff, and Alan Cumming as the eccentric Emcee. Inside the Kit Kat Club of 1931 Berlin, starry-eyed singer Sally and the impish Emcee sound the clarion call to decadent fun, while outside, a notorious political party grows into a brutal force.","Bob Fosse","Liza Minnelli","Michael York","/mt7SYSCUI0SfRIZvA9qwBvmBPVy.jpg",,"7.8","0"
